SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-24-2015,Single Family Residential,30 Cormier Rd,Burlington,MA,01803,960000,4,4.0,Burlington,4696,24020,2011,833,204,,Sold,,,http://www.redfin.com/MA/Burlington/30-Cormier-Rd-01803/home/39926891,MLS PIN,71877819,N,Y,42.4682014,-71.2018053
PAST SALE,September-11-2017,Townhouse,36 Seven Springs Ln Unit 36C,Burlington,MA,01803,720000,3,3.5,Burlington,2345,,2012,115,307,505,Sold,,,http://www.redfin.com/MA/Burlington/36-7-Springs-Ln-01803/unit-36C/home/77514491,MLS PIN,72197318,N,Y,42.4766565,-71.2055146
PAST SALE,December-14-2016,Townhouse,264 Winn St Unit B,Burlington,MA,01803,545000,3,3.5,Burlington,2051,,2011,386,266,250,Sold,,,http://www.redfin.com/MA/Burlington/264-Winn-St-01803/unit-B/home/40200341,MLS PIN,72091497,N,Y,42.5102938,-71.1982874
PAST SALE,June-24-2015,Single Family Residential,5 Carter Rd,Burlington,MA,01803,495500,3,1.5,Burlington,2026,20250,1966,925,245,,Sold,,,http://www.redfin.com/MA/Burlington/5-Carter-Rd-01803/home/8436197,MLS PIN,71826485,N,Y,42.5369225,-71.2042529
PAST SALE,May-3-2017,Townhouse,53 HILL Cir #53,Burlington,MA,01803,530000,2,2.5,Burlington,2023,,1995,246,262,433,Sold,,,http://www.redfin.com/MA/Burlington/53-Hill-Cir-01803/unit-53/home/8469408,MLS PIN,72124829,N,Y,42.4966026,-71.1892022
PAST SALE,,Single Family Residential,36 7 Springs Ln,Burlington,MA,01803,615000,2,3.5,,2147,,2011,,286,,,,,http://www.redfin.com/MA/Burlington/36-7-Springs-Ln-01803/home/39926888,,,N,Y,42.4766565,-71.2055146
PAST SALE,July-5-2017,Townhouse,10 MAPLE RIDGE Dr #10,Burlington,MA,01803,599900,3,2.5,Burlington,1855,,1995,183,323,450,Sold,,,http://www.redfin.com/MA/Burlington/10-Maple-Ridge-Dr-01803/unit-10/home/110298060,MLS PIN,72154196,N,Y,42.4974054,-71.1905518
PAST SALE,August-29-2014,Single Family Residential,71 Muller Rd,Burlington,MA,01803,414000,3,2.5,Burlington,1598,20125,1956,1224,259,,Sold,,,http://www.redfin.com/MA/Burlington/71-Muller-Rd-01803/home/8467281,MLS PIN,71704606,N,Y,42.4722043,-71.2072786
PAST SALE,July-28-2017,Single Family Residential,22 HARRIETT Ave,Burlington,MA,01803,340000,2,1.0,Burlington,1029,13000,1921,160,330,,Sold,,,http://www.redfin.com/MA/Burlington/22-Harriett-Ave-01803/home/8465342,MLS PIN,72183305,N,Y,42.4944689,-71.1708231
PAST SALE,December-19-2016,Single Family Residential,32 Newbridge Ave,Burlington,MA,01803,430000,5,2.0,Burlington,1800,10000,1955,381,239,,Sold,,,http://www.redfin.com/MA/Burlington/32-Newbridge-Ave-01803/home/8462517,MLS PIN,72024537,N,Y,42.4961179,-71.17173
PAST SALE,,Townhouse,4 Georgia Dr,Burlington,MA,01803,314900,2,2.5,,1843,,1998,,171,,,,,http://www.redfin.com/MA/Burlington/4-Georgia-Dr-01803/home/8453890,,,N,Y,42.4983936,-71.169592
PAST SALE,,Single Family Residential,5 Mountain Rd,Burlington,MA,01803,299000,,4.5,,2021,20000,1930,,148,,,,,http://www.redfin.com/MA/Burlington/5-Mountain-Rd-01803/home/12389314,,,N,Y,42.4906387,-71.1747408
PAST SALE,,Single Family Residential,34 Harriett Ave,Burlington,MA,01803,231000,5,2.0,,1592,5500,1925,,145,,,,,http://www.redfin.com/MA/Burlington/34-Harriett-Ave-01803/home/8465369,,,N,Y,42.4933745,-71.1726375
PAST SALE,August-30-2013,Single Family Residential,8 Richardson Rd,Burlington,MA,01803,410000,3,2.0,Burlington,1938,29807,1983,1588,212,,Sold,,,http://www.redfin.com/MA/Burlington/8-Richardson-Rd-01803/home/8464446,MLS PIN,71557168,N,Y,42.4903106,-71.1762645
PAST SALE,November-8-1995,Single Family Residential,27 HERITAGE Way,Burlington,MA,01803,215500,3,1.5,Burlington,1432,20332,1975,8093,150,,Sold,,,http://www.redfin.com/MA/Burlington/27-Heritage-Way-01803/home/8466882,MLS PIN,30060481,N,Y,42.4842355,-71.1808715
PAST SALE,,Other,3 Town Line Rd,Burlington,MA,01803,370000,,,,,13068,,,,,,,,http://www.redfin.com/MA/Burlington/3-Town-Line-Rd-01803/home/11686979,,,N,Y,42.5210991,-71.1767844
PAST SALE,,Single Family Residential,9 Rolling Ln,Burlington,MA,01803,192500,4,2.5,,2292,20080,1967,,84,,,,,http://www.redfin.com/MA/Burlington/9-Rolling-Ln-01803/home/8461706,,,N,Y,42.4980994,-71.1842517
PAST SALE,June-29-2012,Single Family Residential,25 Stony Brook Rd,Burlington,MA,01803,659000,4,2.5,Burlington,2900,20279,2012,2015,227,,Sold,,,http://www.redfin.com/MA/Burlington/25-Stony-Brook-Rd-01803/home/8463436,MLS PIN,71381371,N,Y,42.489672,-71.2031618
PAST SALE,July-11-2016,Single Family Residential,6 Joanne Rd,Burlington,MA,01803,670000,4,3.0,Burlington,3843,24003,1982,542,174,,Sold,,,http://www.redfin.com/MA/Burlington/6-Joanne-Rd-01803/home/8447148,MLS PIN,72002278,N,Y,42.5146192,-71.212396
PAST SALE,,Single Family Residential,3 Edgemont Ave,Burlington,MA,01803,135000,4,1.0,,1264,19250,1950,,107,,,,,http://www.redfin.com/MA/Burlington/3-Edgemont-Ave-01803/home/8452156,,,N,Y,42.5074826,-71.1999027
PAST SALE,,Single Family Residential,3 Stephanie St,Burlington,MA,01803,180000,3,1.5,,1580,24703,1960,,114,,,,,http://www.redfin.com/MA/Burlington/3-Stephanie-St-01803/home/8437709,,,N,Y,42.530019,-71.2106708
PAST SALE,,Condo/Co-op,59 Center St Unit 307,Burlington,MA,01803,204900,2,2.0,,996,,2006,,206,,,,,http://www.redfin.com/MA/Burlington/59-Center-St-01803/unit-307/home/12388546,,,N,Y,42.5046988,-71.1913566
PAST SALE,June-30-2011,Single Family Residential,3 Valley Cir,Burlington,MA,01803,409000,3,1.5,Burlington,1563,20100,1960,2380,262,,Sold,,,http://www.redfin.com/MA/Burlington/3-Valley-Cir-01803/home/8460933,MLS PIN,71231508,N,Y,42.4972905,-71.2010672
PAST SALE,June-11-2012,Single Family Residential,29 County Rd,Burlington,MA,01803,345000,3,1.5,Burlington,1433,17780,1900,2033,241,,Sold,,,http://www.redfin.com/MA/Burlington/29-County-Rd-01803/home/8440725,MLS PIN,71321910,N,Y,42.5217586,-71.2167548
PAST SALE,,Condo/Co-op,59 Center St Unit 208,Burlington,MA,01803,204900,2,2.0,,996,,2006,,206,,,,,http://www.redfin.com/MA/Burlington/59-Center-St-01803/unit-208/home/12388517,,,N,Y,42.5046988,-71.1913566
PAST SALE,,Single Family Residential,50 Greenwood Rd,Burlington,MA,01803,310000,3,1.0,,1536,21085,1956,,202,,,,,http://www.redfin.com/MA/Burlington/50-Greenwood-Rd-01803/home/8455958,,,N,Y,42.501861,-71.2247423
PAST SALE,July-12-2013,Single Family Residential,10 Irene St,Burlington,MA,01803,675000,6,3.0,Burlington,3006,20000,1960,1637,225,,Sold,,,http://www.redfin.com/MA/Burlington/10-Irene-St-01803/home/8435695,MLS PIN,71515083,N,Y,42.533152,-71.2094247
PAST SALE,,Single Family Residential,28 Leopold St,Burlington,MA,01803,305000,5,2.0,,2260,10000,1953,,135,,,,,http://www.redfin.com/MA/Burlington/28-Leopold-St-01803/home/8452396,,,N,Y,42.5105445,-71.2031506
PAST SALE,April-24-2006,Single Family Residential,2 Porter Ave,Burlington,MA,01803,355000,3,1.0,Burlington,1120,10019,1955,4273,317,,Sold,,,http://www.redfin.com/MA/Burlington/2-Porter-Ave-01803/home/11775124,MLS PIN,70262319,N,Y,42.5087102,-71.1929478
PAST SALE,August-22-1994,Single Family Residential,4 WARD St,Burlington,MA,,207000,3,1.5,Burlington,,20004,1958,8536,,,Sold,,,http://www.redfin.com/MA/Burlington/4-Ward-St-01803/home/8461380,MLS PIN,11049143,N,Y,42.4991948,-71.1908134
PAST SALE,November-22-1995,Single Family Residential,4 EDGEMONT Ave,Burlington,MA,01803,147000,2,2.0,Burlington,1378,19000,1940,8079,107,,Sold,,,http://www.redfin.com/MA/Burlington/4-Edgemont-Ave-01803/home/8452120,MLS PIN,30064948,N,Y,42.5071224,-71.2000837
PAST SALE,,Single Family Residential,14 Park Dr,Burlington,MA,01803,342500,4,3.0,,2324,20085,1961,,147,,,,,http://www.redfin.com/MA/Burlington/14-Park-Dr-01803/home/11775045,,,N,Y,42.5397949,-71.2032047
PAST SALE,October-31-1994,Single Family Residential,21 DONALD,Burlington,MA,01803,348500,3,2.5,Burlington,2614,20009,1990,8466,133,,Sold,,,http://www.redfin.com/MA/Burlington/21-Donald-Rd-01803/home/8442700,MLS PIN,30002930,N,Y,42.5211218,-71.194017
PAST SALE,May-8-2004,Single Family Residential,13 Taylor Ave,Burlington,MA,01803,375000,3,1.5,Burlington,1148,21344,1959,4989,327,,Sold,,,http://www.redfin.com/MA/Burlington/13-Taylor-Ave-01803/home/8447776,MLS PIN,70009348,N,Y,42.515339,-71.2015565
PAST SALE,,Single Family Residential,27 Fairfax St,Burlington,MA,01803,180000,3,2.0,,2420,22198,1930,,74,,,,,http://www.redfin.com/MA/Burlington/27-Fairfax-St-01803/home/8456609,,,N,Y,42.5064233,-71.2054726
PAST SALE,September-21-2004,Single Family Residential,87 Lexington St,Burlington,MA,01803,525000,4,2.0,Burlington,2279,43124,1950,4853,230,,Sold,,,http://www.redfin.com/MA/Burlington/87-Lexington-St-01803/home/8463239,MLS PIN,70024999,N,Y,42.4924086,-71.2059277
PAST SALE,October-14-1994,Condo/Co-op,13 HALLMARK Gdn Unit 5-13,Burlington,MA,01803,59000,1,1.0,Burlington,630,630,1972,8483,94,174,Sold,,,http://www.redfin.com/MA/Burlington/13-HALLMARK-Gdn-01803/unit-5-13/home/136770978,MLS PIN,30000943,N,Y,42.5005723,-71.2042619
PAST SALE,October-29-1993,Single Family Residential,37 CAREY Ave,Burlington,MA,,166750,3,1.0,Burlington,,20302,1959,8833,,,Sold,,,http://www.redfin.com/MA/Burlington/37-Carey-Ave-01803/home/8451621,MLS PIN,11045096,N,Y,42.5107304,-71.2105458
PAST SALE,January-21-2013,Townhouse,260 Winn St Unit E,Burlington,MA,01803,408000,2,3.5,Burlington,2350,,2012,1809,174,255,Sold,,,http://www.redfin.com/MA/Burlington/260-Winn-St-01803/unit-E/home/113229075,MLS PIN,71425168,N,Y,42.5108301,-71.1969694
PAST SALE,August-28-2015,Single Family Residential,50 Harriett Ave,Burlington,MA,01803,680000,4,3.0,Burlington,2706,8850,2015,860,251,,Sold,,,http://www.redfin.com/MA/Burlington/50-Harriett-Ave-01803/home/8464483,MLS PIN,71792194,N,Y,42.4914561,-71.1761242
PAST SALE,June-24-2015,Single Family Residential,31 Locust St,Burlington,MA,01803,585000,4,3.0,Burlington,2762,22290,1949,925,212,,Sold,,,http://www.redfin.com/MA/Burlington/31-Locust-St-01803/home/8458112,MLS PIN,71827004,N,Y,42.5065833,-71.1826491
PAST SALE,June-10-2009,Single Family Residential,5 Frances Rd,Burlington,MA,01803,362000,4,2.0,Burlington,1638,11162,1957,3130,221,,Sold,,,http://www.redfin.com/MA/Burlington/5-Frances-Rd-01803/home/8465020,MLS PIN,70900768,N,Y,42.494544,-71.1750315
PAST SALE,,Single Family Residential,Mark St,Burlington,MA,01803,363000,3,2.0,,1732,29310,1986,,210,,,,,http://www.redfin.com/MA/Burlington/Mark-St-01803/home/8465846,,,N,Y,42.488271,-71.212293
PAST SALE,May-19-2011,Single Family Residential,16 Mallard Way,Burlington,MA,01803,440000,3,2.5,Burlington,2209,20000,1964,2422,199,,Sold,,,http://www.redfin.com/MA/Burlington/16-Mallard-Way-01803/home/8443525,MLS PIN,71186811,N,Y,42.520499,-71.1830828
PAST SALE,May-27-2010,Single Family Residential,9 Freeport Dr,Burlington,MA,01803,420000,3,2.0,Burlington,1749,23000,1971,2779,240,,Sold,,,http://www.redfin.com/MA/Burlington/9-Freeport-Dr-01803/home/8444149,MLS PIN,71065115,N,Y,42.5203717,-71.1871909
PAST SALE,December-6-2016,Single Family Residential,10 Wing Ter,Burlington,MA,01803,415000,3,1.0,Burlington,1161,20000,1955,394,357,,Sold,,,http://www.redfin.com/MA/Burlington/10-Wing-Ter-01803/home/8444487,MLS PIN,72073304,N,Y,42.5189385,-71.2209921
PAST SALE,,Single Family Residential,22 Manhattan Dr,Burlington,MA,01803,169900,4,3.0,,2217,21700,1955,,77,,,,,http://www.redfin.com/MA/Burlington/22-Manhattan-Dr-01803/home/8445061,,,N,Y,42.5138879,-71.22037
PAST SALE,April-27-2012,Single Family Residential,25 Sedalia Rd,Burlington,MA,01803,349000,4,2.0,Burlington,1428,7500,1964,2078,244,,Sold,,,http://www.redfin.com/MA/Burlington/25-Sedalia-Rd-01803/home/8445690,MLS PIN,71344267,N,Y,42.5159684,-71.2141053
PAST SALE,September-7-2012,Single Family Residential,12 Sumpter Rd,Burlington,MA,01803,550000,4,2.5,Burlington,2408,9650,2007,1945,228,,Sold,,,http://www.redfin.com/MA/Burlington/12-Sumpter-Rd-01803/home/8445730,MLS PIN,71320317,N,Y,42.5175583,-71.2164474
PAST SALE,,Single Family Residential,9 Winona Rd,Burlington,MA,01803,120000,4,2.5,,2638,10000,2001,,45,,,,,http://www.redfin.com/MA/Burlington/9-Winona-Rd-01803/home/8445831,,,N,Y,42.5179312,-71.2156745
PAST SALE,January-31-2017,Single Family Residential,32 Crystal Cir,Burlington,MA,01803,480000,4,2.0,Burlington,1770,20062,1966,338,271,,Sold,,,http://www.redfin.com/MA/Burlington/32-Crystal-Cir-01803/home/8450838,MLS PIN,72101804,N,Y,42.5099954,-71.2155581
PAST SALE,May-27-2011,Single Family Residential,1 Mc Sweeney Way,Burlington,MA,01803,760000,3,2.5,Burlington,2641,79821,1997,2414,288,,Sold,,,http://www.redfin.com/MA/Burlington/1-McSweeney-Way-01803/home/8457492,MLS PIN,71146536,N,Y,42.5048295,-71.2039775
PAST SALE,December-2-2013,Single Family Residential,12 Maud Graham Cir,Burlington,MA,01803,460000,4,1.5,Burlington,1736,24577,1959,1494,265,,Sold,,,http://www.redfin.com/MA/Burlington/12-Maud-Graham-Cir-01803/home/8460485,MLS PIN,71595624,N,Y,42.5000446,-71.205888
PAST SALE,November-15-2007,Single Family Residential,14 Maud Graham Cir,Burlington,MA,01803,355000,3,1.5,Burlington,1730,21735,1961,3703,205,,Sold,,,http://www.redfin.com/MA/Burlington/14-Maud-Graham-Cir-01803/home/8460490,MLS PIN,70583757,N,Y,42.5004173,-71.2058127
PAST SALE,,Single Family Residential,1 Indian Hill Rd,Burlington,MA,01803,400000,3,2.5,,2100,20200,1956,,190,,,,,http://www.redfin.com/MA/Burlington/1-Indian-Hill-Rd-01803/home/8460873,,,N,Y,42.4983686,-71.2018285
PAST SALE,September-26-2008,Single Family Residential,4 PARTRIDGE Ln,Burlington,MA,01803,377000,4,1.5,Burlington,2052,20000,1955,3387,184,,Sold,,,http://www.redfin.com/MA/Burlington/4-Partridge-Ln-01803/home/8462711,MLS PIN,70800478,N,Y,42.4943168,-71.2127175
PAST SALE,July-29-2015,Single Family Residential,3 Woodside Ln,Burlington,MA,01803,750250,4,3.5,Burlington,3441,20473,2005,890,218,,Sold,,,http://www.redfin.com/MA/Burlington/3-Woodside-Ln-01803/home/8462803,MLS PIN,71834827,N,Y,42.4923349,-71.2131549
PAST SALE,November-2-2015,Single Family Residential,65 Cambridge St,Burlington,MA,01803,605000,4,2.5,Burlington,2602,41196,1993,794,233,,Sold,,,http://www.redfin.com/MA/Burlington/65-Cambridge-St-01803/home/8463857,MLS PIN,71851351,N,Y,42.4928911,-71.1949013
PAST SALE,June-29-2016,Single Family Residential,2 Richardson Rd,Burlington,MA,01803,439000,3,2.0,Burlington,1640,11717,1964,554,268,,Sold,,,http://www.redfin.com/MA/Burlington/2-Richardson-Rd-01803/home/8464526,MLS PIN,72000229,N,Y,42.4909895,-71.1769938
PAST SALE,June-20-2012,Single Family Residential,28 Overlook Ave,Burlington,MA,01803,585000,4,2.5,Burlington,2431,13332,2012,2024,241,,Sold,,,http://www.redfin.com/MA/Burlington/28-Overlook-Ave-01803/home/8464598,MLS PIN,71324247,N,Y,42.4910627,-71.1792707
PAST SALE,,Single Family Residential,2 Creston Ave,Burlington,MA,01803,370000,3,2.0,,1892,13201,1973,,196,,,,,http://www.redfin.com/MA/Burlington/2-Creston-Ave-01803/home/8465698,,,N,Y,42.4919719,-71.1805063
PAST SALE,,Single Family Residential,10 Gayland St,Burlington,MA,01803,655000,4,2.5,,2408,20000,2003,,272,,,,,http://www.redfin.com/MA/Burlington/10-Gayland-St-01803/home/8469597,,,N,Y,42.5074023,-71.2072547
PAST SALE,November-3-2016,Single Family Residential,1 Travers Ln,Burlington,MA,01803,535000,4,3.0,Burlington,2795,20017,1991,427,191,,Sold,,,http://www.redfin.com/MA/Burlington/1-Travers-Ln-01803/home/11548244,MLS PIN,72048555,N,Y,42.5030739,-71.1903785
PAST SALE,June-26-2009,Single Family Residential,62 Mountain Rd,Burlington,MA,01803,539000,4,2.5,Burlington,2316,29000,2008,3114,233,,Sold,,,http://www.redfin.com/MA/Burlington/62-Mountain-Rd-01803/home/12442311,MLS PIN,70741112,N,Y,42.4860724,-71.1829172
PAST SALE,August-27-2014,Townhouse,14 Georgia Dr #14,Burlington,MA,01803,475000,2,2.5,Burlington,2500,,1998,1226,190,271,Sold,,,http://www.redfin.com/MA/Burlington/14-Georgia-Dr-01803/unit-14/home/77524547,MLS PIN,71706883,N,Y,42.497931,-71.1700802
PAST SALE,September-28-2012,Townhouse,6 Murray Ave #7,Burlington,MA,01803,357000,2,2.0,Burlington,1635,,2012,1924,218,225,Sold,,,http://www.redfin.com/MA/Burlington/6-Murray-Ave-01803/unit-7/home/40214740,MLS PIN,71309277,N,Y,42.5133145,-71.2014466
PAST SALE,May-23-2014,Condo/Co-op,8 HALLMARK Gdns #6,Burlington,MA,01803,158000,1,1.0,Burlington,700,,1970,1322,226,333,Sold,,,http://www.redfin.com/MA/Burlington/8U-Hallmark-Gdn-01803/unit-6/home/8468619,MLS PIN,71661494,N,Y,42.498882,-71.219121
PAST SALE,,Condo/Co-op,8U- Hallmark Gdn Apt 2,Burlington,MA,01803,125000,1,1.0,,700,,1970,,179,,,,,http://www.redfin.com/MA/Burlington/8U-Hallmark-Gdn-01803/unit-2/home/8468598,,,N,Y,42.498882,-71.219121
PAST SALE,November-24-2010,Single Family Residential,18-A Druid Hill Ave,Burlington,MA,01803,264900,3,1.5,Burlington,1432,5000,1958,2598,185,,Sold,,,http://www.redfin.com/MA/Burlington/18-A-Druid-Hill-Ave-01803/home/113200483,MLS PIN,71123497,N,Y,42.5005723,-71.2042619
PAST SALE,December-14-2012,Single Family Residential,4 Ganley Dr,Burlington,MA,01803,600000,4,3.0,Burlington,2649,20000,1960,1847,227,,Sold,,,http://www.redfin.com/MA/Burlington/4-Ganley-Dr-01803/home/8461391,MLS PIN,71449443,N,Y,42.4988308,-71.1905652
PAST SALE,March-2-2011,Single Family Residential,8 Cedarwood Ln,Burlington,MA,01803,330000,3,1.5,Burlington,1428,15871,1955,2500,231,,Sold,,,http://www.redfin.com/MA/Burlington/8-Cedarwood-Ln-01803/home/8457689,MLS PIN,71182471,N,Y,42.5028611,-71.1948343
PAST SALE,July-6-2012,Single Family Residential,241 Middlesex Tpke,Burlington,MA,01803,280000,3,1.5,Burlington,1420,20000,1955,2008,197,,Sold,,,http://www.redfin.com/MA/Burlington/241-Middlesex-Tpke-01803/home/11775136,MLS PIN,71288535,N,Y,42.501171,-71.228812
PAST SALE,April-30-2013,Single Family Residential,9 Brown Ave,Burlington,MA,01803,755000,5,4.0,Burlington,4195,20000,2006,1710,180,,Sold,,,http://www.redfin.com/MA/Burlington/9-Brown-Ave-01803/home/8463193,MLS PIN,71455603,N,Y,42.4914325,-71.2102959
PAST SALE,,Townhouse,19 Cranberry Ln,Burlington,MA,01803,505000,3,2.5,,1967,,1998,,257,,,,,http://www.redfin.com/MA/Burlington/19-Cranberry-Ln-01803/home/11376844,,,N,Y,42.4966899,-71.2199389
PAST SALE,February-15-2013,Single Family Residential,37 Terrace Hall Ave,Burlington,MA,01803,345000,3,1.0,Burlington,1428,20557,1937,1784,242,,Sold,,,http://www.redfin.com/MA/Burlington/37-Terrace-Hall-Ave-01803/home/8459770,MLS PIN,71431504,N,Y,42.499946,-71.213729
PAST SALE,August-4-2016,Single Family Residential,26 Bedford St,Burlington,MA,01803,455000,4,2.0,Burlington,1600,15686,1950,518,284,,Sold,,,http://www.redfin.com/MA/Burlington/26-Bedford-St-01803/home/8457650,MLS PIN,72023941,N,Y,42.5051004,-71.2006727
PAST SALE,May-20-2016,Single Family Residential,22 Pontos Ave,Burlington,MA,01803,389525,4,2.0,Burlington,1447,10000,1972,594,269,,Sold,,,http://www.redfin.com/MA/Burlington/22-Pontos-Ave-01803/home/11775104,MLS PIN,71900400,N,Y,42.5169262,-71.2037823
PAST SALE,February-29-2016,Single Family Residential,2 Robinhood Ln,Burlington,MA,01803,859900,4,2.5,Burlington,3100,20030,2015,675,277,,Sold,,,http://www.redfin.com/MA/Burlington/2-Robin-Hood-Ln-01803/home/8447437,MLS PIN,71898393,N,Y,42.518128,-71.20406
PAST SALE,August-28-2015,Single Family Residential,42 Skilton Ln,Burlington,MA,01803,585000,3,3.0,Burlington,2370,20527,2006,860,247,,Sold,,,http://www.redfin.com/MA/Burlington/42-Skilton-Ln-01803/home/11775107,MLS PIN,71846796,N,Y,42.517534,-71.1971458
PAST SALE,August-25-2014,Single Family Residential,1 Donna Ln,Burlington,MA,01803,450000,4,2.0,Fox Hill,2152,20050,1963,1228,209,,Sold,,,http://www.redfin.com/MA/Burlington/1-Donna-Ln-01803/home/8439111,MLS PIN,71688254,N,Y,42.5276647,-71.1962391
PAST SALE,April-21-2009,Single Family Residential,15 Sunnyside Ave,Burlington,MA,01803,367000,3,1.0,Burlington,1483,9365,1976,3180,247,,Sold,,,http://www.redfin.com/MA/Burlington/15-Sunnyside-Ave-01803/home/8464402,MLS PIN,70870151,N,Y,42.4916424,-71.1826239
PAST SALE,September-18-2013,Single Family Residential,21 Freeport Dr,Burlington,MA,01803,479900,4,1.5,Burlington,2223,27880,1971,1569,216,,Sold,,,http://www.redfin.com/MA/Burlington/21-Freeport-Dr-01803/home/11775082,MLS PIN,71559676,N,Y,42.5184967,-71.1887885
PAST SALE,December-31-2013,Single Family Residential,25 Beaverbrook Rd,Burlington,MA,01803,330250,3,1.5,FOX HILL,1268,21284,1958,1465,260,,Sold,,,http://www.redfin.com/MA/Burlington/25-Beaverbrook-Rd-01803/home/8438543,MLS PIN,71605164,N,Y,42.528438,-71.2007062
PAST SALE,February-3-2016,Single Family Residential,2 Upland Rd,Burlington,MA,01803,516000,3,2.5,Burlington,2219,20000,1960,701,233,,Sold,,,http://www.redfin.com/MA/Burlington/2-Upland-Rd-01803/home/8439474,MLS PIN,71923890,N,Y,42.5262225,-71.199007
PAST SALE,June-25-2014,Single Family Residential,37 Mill St,Burlington,MA,01803,445000,5,2.0,Burlington,1778,70268,1960,1289,250,,Sold,,,http://www.redfin.com/MA/Burlington/37-Mill-St-01803/home/8453545,MLS PIN,71648755,N,Y,42.511978,-71.1898567
PAST SALE,,Single Family Residential,96 Locust St,Burlington,MA,01803,165000,4,2.5,,2260,20649,1974,,73,,,,,http://www.redfin.com/MA/Burlington/96-Locust-St-01803/home/8454281,,,N,Y,42.5116617,-71.1872989
PAST SALE,November-15-2011,Condo/Co-op,235 Cambridge St #108,Burlington,MA,01803,431000,2,2.0,Burlington,1544,,2011,2242,279,330,Sold,,,http://www.redfin.com/MA/Burlington/235-Cambridge-St-01803/unit-108/home/40190540,MLS PIN,71304690,N,Y,42.5124714,-71.2023176
PAST SALE,,Townhouse,6 Murray Ave #8,Burlington,MA,01803,154000,2,2.0,,1539,,2011,,100,,,,,http://www.redfin.com/MA/Burlington/6-Murray-Ave-01803/unit-8/home/40214758,,,N,Y,42.5133145,-71.2014466
PAST SALE,June-28-2012,Townhouse,264 Winn St Unit D,Burlington,MA,01803,390000,2,3.5,Burlington,2010,,2011,2016,194,255,Sold,,,http://www.redfin.com/MA/Burlington/264-Winn-St-01803/unit-D/home/40398562,MLS PIN,71384279,N,Y,42.5102938,-71.1982874
PAST SALE,October-8-2013,Townhouse,8 Murray Ave #10,Burlington,MA,01803,491000,2,3.5,Burlington,2500,,2113,1549,196,330,Sold,,,http://www.redfin.com/MA/Burlington/8-Murray-Ave-01803/unit-10/home/49788111,MLS PIN,71568099,N,Y,42.5133145,-71.2014466
PAST SALE,November-17-2014,Single Family Residential,Lot 1 Lexington St,Burlington,MA,01803,802000,4,2.5,Burlington,2800,21200,2014,1144,286,,Sold,,,http://www.redfin.com/MA/Burlington/1-Lexington-St-01803/home/56790224,MLS PIN,71715189,N,Y,42.5050448,-71.1976816
PAST SALE,March-28-2014,Single Family Residential,6 Chester Ave,Burlington,MA,01803,695000,4,2.5,Minutes to Major Highways! Minutes to Schools! Minutes to the Burlington Mall and Commuter Rail !!,2512,20100,2012,1378,277,,Sold,,,http://www.redfin.com/MA/Burlington/6-Chester-Ave-01803/home/8437501,MLS PIN,71627344,N,Y,42.5285696,-71.2077123
PAST SALE,,Single Family Residential,30 Douglas Ave,Burlington,MA,01803,350000,3,1.0,,1474,20000,1963,,237,,,,,http://www.redfin.com/MA/Burlington/30-Douglas-Ave-01803/home/8437993,,,N,Y,42.5270761,-71.2147978
PAST SALE,November-3-2008,Single Family Residential,28 Alma Rd,Burlington,MA,01803,420000,4,2.0,Burlington,1391,23108,1954,3349,302,,Sold,,,http://www.redfin.com/MA/Burlington/28-Alma-Rd-01803/home/8441394,MLS PIN,70820191,N,Y,42.5234099,-71.2112973
PAST SALE,July-25-2008,Single Family Residential,2 Winona Rd,Burlington,MA,01803,412000,4,2.0,Burlington,1820,14375,1952,3450,226,,Sold,,,http://www.redfin.com/MA/Burlington/2-Winona-Rd-01803/home/8446046,MLS PIN,70749988,N,Y,42.5186417,-71.2144638
PAST SALE,October-13-2010,Single Family Residential,110 Francis Wyman Rd,Burlington,MA,01803,592000,4,2.5,Burlington,2408,16117,2004,2640,246,,Sold,,,http://www.redfin.com/MA/Burlington/110-Francis-Wyman-Rd-01803/home/8449411,MLS PIN,71035017,N,Y,42.5070651,-71.2224834
PAST SALE,May-27-2014,Single Family Residential,31 MEADOWVALE,Burlington,MA,01803,530000,5,3.5,Burlington,2284,,1975,1318,232,,Sold,,,http://www.redfin.com/MA/Burlington/31-Meadowvale-Rd-01803/home/8452058,MLS PIN,71647967,N,Y,42.5085195,-71.2074365
PAST SALE,January-25-2013,Single Family Residential,3 Pinevale Ave,Burlington,MA,01803,650000,4,2.5,Burlington,2700,31812,2012,1805,241,,Sold,,,http://www.redfin.com/MA/Burlington/3-Pinevale-Ave-01803/home/8452211,MLS PIN,71441421,N,Y,42.508982,-71.199352
